Compound,Character,OSHAPEL
4-methyl-3-penten-2-one,sweet chemical,
3-hexenal,herb herb,
thiophane,cabbage,
m-xylene,plastic,
hydroxypentanone,herb truffle,
mercaptobutanone,onion,
isobutyraldehyde,spice malt herb,
ethyl butyrate,fruit,
butanediol,fruit onion,
pentanal,almond malt spice,
propyl propanoate,fruit,
nonenone,baked,
octane,alkane,
butyl acetate,fruit,
furfural,bread almond sweet,
methylbutenthiol,ammonia smoke,
hydroxypentanone,truffle earth nut,
azine,rancid,
methyl pyrazine,popcorn,
ethoxypropanol,fruit,
1-(methylthio)ethanethiol,thiamin,
2-hexenal,fruit herb,
(E)-2-hexenal,herb herb,
(2S)-2-methyl-ethyl ester-butanoic acid,fruit,
isopropyl butanoate,spice fruit,
furfuryl alcohol,burnt,
ethyl methylbutyrate,fruit,
ethyl 3-methylbutanoate,fruit,
2-hexenal,solvent rancid,
isovaleric acid,sweat acid rancid,
methylfuranthiol,meat,
(Z)-3-hexenol,grass,
methylbutanone,camphor,
heptenone,metal,
methylbutyric acid,cheese sweat,
hexanol,resin aromatic herb,
heptanol,herb,
dimethylthiazole,rubber mold,
isoamyl acetate,fruit,
2-methylbutyl acetate,fruit,
2-hexenol,herb herb alcohol fruit,
methional,cooked potato,
o-picoline,sweat,
allyl isothiocyanate. allyspol,sulfur spice garlic,
(E)-2-hexenol,herb herb walnut,
o-xylene,geranium,
heptanone,soap,
mercaptopentanone,sulfur onion meat,
styrene,balsamic solvent,
acetylfuran,balsamic,
methyl-2-(methylthio)acetate,cooked potato roasted nut,
propyl butyrate,fruit solvent,
ethyl valerate,yeast fruit,
mercaptopentanone,roasted meat,
methyltetrahydrofuranthiol,onion,
heptanal,solvent citrus rancid,
4-heptenal,biscuit cream,
bornyl methyl ether,earth must,
dimethyl pyrazine,cocoa roasted nut roast beef medicine,
dimethyl pyrazine,roasted nut cocoa roast beef,
ethyl pyrazine,peanut butter wood,
caproic acid,sweat,
2.4-hexadienal,herb,
pentanoic acid,sweat,
dimethyl pyrazine,nut peanut butter cocoa meat,
4-methylhexanol,sweat,
fufuryl mercaptan,coffee roast,
1-cyclohexen-3-one,pesticide,
acetylpyrroline,nut roast,
nonane,alkane,
methoxymethylbutanethiol,cat black currant,
ethyl mercaptopropionate,sulfur,
dimethylthiazole,roast smoke,
dimethyl sulfone,sulfur burnt,
hexanethiol,sulfur,
heptanol,mushroom,
methyl hexanoate,fruit herb sweet,
methyldihydrofuranthiol,meat,
methylthiazoline,garlic,
2-ethylpyridine,grass,
α-pinene,pine turpentine,
mercaptomethylpentanone,black currant,
methyl-p-xylene,plastic,
ethyl 3-hydroxybutanoate,marshmallow,
butyl isothiocyanate,sulfur spice herb,
α-thujene,wood herb herb,
2-pentanol,herb,
2-hepten-1-al,herb,
heptenal,soap solvent almond,
benzaldehyde,almond burnt sweet,
heptanol,chemical herb,
methionol,sweet potato,
octanone,herb butter resin,
dimethyl trisulfide,sulfur fish cabbage,
3-mercaptothiophene,cooked meat,
ethyl isohexanoate,fruit,
dimethylfuranthiol,meat,
4-methylthio-2-butanone,fruit,
methyldihydrothiophenone,cabbage onion must,
filbertone,hazelnut nut,
mercaptomethylbutanol,meat broth,
octenone,mushroom metal,
(E)-2-penten-1-ol,mushroom,
camphene,camphor,
octenol,mushroom,
5-methylfurfural,almond caramel burnt sweet,
phenol,solvent,
methylisohexenyl ketone,pepper mushroom rubber,
octadienone,geranium metal,
sabinene,pepper turpentine wood,
1.5-octadien-3-ol,earth herb,
1.5-octadienone,earth must,
2.3-dehydro-1.8-cineole,mint fruit,
pentylfuran,herb bean butter,
ethylmethyl pyrazine,fruit sweet,
trimethylthiazole,earth,
2-formylthiophene,sulfur,
octanal,solvent soap fruit herb,
octanone,soap solvent,
methyldithiolane,sulfur,
2.4-heptadienal,fried,
trimethyl-pyrazine,roast potato must,
ethyl hexanoate,fruit peel fruit,
2-methyl anisole,warm aromatic walnut,
β-pinene,pine resin turpentine,
2-octanol,mushroom solvent,
β-carene,fruit peel,
hexenyl acetate,herb fruit,
(+)-α-phellandrene,dill,
myrcene,balsamic must spice,
ethyl lactate,fruit,
2.4-heptadienal,nut solvent,
octanol,moss nut mushroom,
acetylpyridine,popcorn,
hexyl acetate,fruit herb,
2.3.4.5-tetrahydroanisole,herb spice,
5-(methylthio)-valeronitrile,broccoli cabbage,
methylfurfurylthiol,sulfur roast,
decane,alkane,
1.4-cineole,spice,
β-cubebene,citrus fruit,
acetylthiazole,roast nut sulfur,
phenylethanal,hawthorne honey sweet,
mercaptomethylbutyl formate,cat roast,
acetylpyrazine,roast,
propionylpyrroline,roast,
α-phellandrene,turpentine mint spice,
Propionylpyrrole,roast popcorn,
(+)-limonene.,citrus mint,
1.8-cineole,mint sweet,
2-ethylhexanol,rose herb,
δ-3-carene,fruit resin,
2-acetyl-1.4.5.6-tetrahydropyridine,caramel,
methylethylpyrazine,sweat,
α-terpinene,fruit,
benzylmethyl ether,metal,
(E)-3-hexenol,moss herb,
limonene,fruit fruit,
ethyl hydroxybutanoate,caramel,
3-octenone,nut,
isopropyl hexanoate,herb,
3-octen-2-one,nut crushed bug,
furaneol™,caramel,
methyl octanoate,fruit,
acetophenone,must aromatic almond,
p-cymene,solvent solvent citrus,
(Z)-ocimene.,citrus herb aromatic,
isobutyl thiazole,tomato herb herb,
4-mercapto-4-methyl-2-pentanone,box tree,
butyl methylbutyrate,fruit cocoa,
norfuraneol,caramel,
2-acetylpyrrole,nut walnut bread,
methylethyl pyrazine,roast,
methyl-thiophenethiol,medicine,
2-octenal,herb nut solvent,
5-isopropyl-2-methylpyrazine,sweat,
2-octenal,herb herb walnut,
dimethylmethoxyfuranone,caramel sweet ew,
β-phellandrene,mint terpentine,
ocimene,herb,
dihydrolinalool,wood citrus camphor,
6(10)-dihydromyrcenol,tart lime citrus cologne,
dimethylheptenal,fruit herb melon,
α-ocimene,fruit wet cloth,
(E)-β-ocimene,sweet herb,
2-octenal,herb,
artemisia ketone,herb herb,
2-methoxy-3.6-dimethylpyrazine,earth,
p. a -dimethylstyrol,solvent,
cis-sabinene hydrate,balsamic,
guaiacol,smoke sweet medicine,
γ-terpinene,solvent turpentine,
hydroxydimethylcyclopentenone,caramel,
p-cresol,medicine solvent smoke,
nonenone,spice mushroom,
ethyldimethylthiazole,earth,
2.5-dimethyl-3-ethylpyrazine,potato roast,
dihydromyrcenol,tart lime citrus cologne,
sotolon,cotton candy spice maple,
thenylthiol,sulfur,
methyl benzoate,pre lettuce herb sweet,
ethyldimethylpyrazine,potato,
ethyldimethylpyrazine,burnt popcorn,
artemisia alcohol,herb,
m-cresol,fecal plastic,
dimethylethyl pyrazine,roast,
durene,rancid sweet,
maltol,caramel,
(Z)-linalool oxide,aromatic,
octanol,chemical metal burnt,
2-pentylthiophene,sweet fruit,
acetylthiophene,sulfur,
pentyl butanoate,fruit,
3.5-octadienone,fruit solvent mushroom,
3-nonenal,cucumber,
nonanal,solvent citrus herb,
propyl hexanoate,fruit,
2-phenylethyl alcohol,honey spice rose lilac,
3-nonenal,solvent,
isopropylmethoxypyrazine,pea earth,
3.6-nonadienal,solvent soap,
ethyl heptylate,fruit,
2-methyl-2-(methyldithio)propanal,smoke solvent,
hotrienol,hyacinth,
linalool,aromatic lavender,
ethenyl-dimethylpyrazine,earth,
2.4-octadienal,herb seaweed cucumber,
octenol,soap plastic,
acetylthiazoline,roast popcorn,
δ-terpinene,pine plastic,
(E)-linalool oxide,aromatic,
(+)-cis-rose oxide,herb aromatic,
nonanone,hot milk soap herb,
trans-sabinene hydrate,wood balsamic,
(-)-cis-rose oxide,sweet rose,
methyl cinnamate,fruit,
p-menthatriene,turpentine,
(methylbutenyl)-methylfuran,mint,
undecane,alkane,
α-p-dimethylstyrene,citrus pine,
formylmethyl thiophene,sulfur,
